valuation_date,expiry_date,forward,moneyness,implied_vol
2026-01-28,2026-01-29,5990.62,0.80,0.7493
2026-01-28,2026-01-29,5990.62,0.90,0.4940
2026-01-28,2026-01-29,5990.62,0.95,0.3193
2026-01-28,2026-01-29,5990.62,0.975,0.2362
2026-01-28,2026-01-29,5990.62,1.00,0.1957
2026-01-28,2026-01-29,5990.62,1.025,0.1992
2026-01-28,2026-01-29,5990.62,1.05,0.2275
2026-01-28,2026-01-29,5990.62,1.10,0.3283
2026-01-28,2026-01-29,5990.62,1.20,0.4677
2026-01-28,2026-02-02,5991.38,0.80,0.6049
2026-01-28,2026-02-02,5991.38,0.90,0.3718
2026-01-28,2026-02-02,5991.38,0.95,0.2208
2026-01-28,2026-02-02,5991.38,0.975,0.1608
2026-01-28,2026-02-02,5991.38,1.00,0.1307
2026-01-28,2026-02-02,5991.38,1.025,0.1320
2026-01-28,2026-02-02,5991.38,1.05,0.1479
2026-01-28,2026-02-02,5991.38,1.10,0.2265
2026-01-28,2026-02-02,5991.38,1.20,0.3555
2026-01-28,2026-02-10,5993.68,0.80,0.4627
2026-01-28,2026-02-10,5993.68,0.90,0.2757
2026-01-28,2026-02-10,5993.68,0.95,0.1933
2026-01-28,2026-02-10,5993.68,0.975,0.1597
2026-01-28,2026-02-10,5993.68,1.00,0.1338
2026-01-28,2026-02-10,5993.68,1.025,0.1202
2026-01-28,2026-02-10,5993.68,1.05,0.1205
2026-01-28,2026-02-10,5993.68,1.10,0.1617
2026-01-28,2026-02-10,5993.68,1.20,0.2608
2026-01-28,2026-03-06,5998.04,0.80,0.3455
2026-01-28,2026-03-06,5998.04,0.90,0.2324
2026-01-28,2026-03-06,5998.04,0.95,0.1838
2026-01-28,2026-03-06,5998.04,0.975,0.1629
2026-01-28,2026-03-06,5998.04,1.00,0.1447
2026-01-28,2026-03-06,5998.04,1.025,0.1319
2026-01-28,2026-03-06,5998.04,1.05,0.1258
2026-01-28,2026-03-06,5998.04,1.10,0.1273
2026-01-28,2026-03-06,5998.04,1.20,0.1819
2026-01-28,2026-04-28,5990.26,0.80,0.3052
2026-01-28,2026-04-28,5990.26,0.90,0.2200
2026-01-28,2026-04-28,5990.26,0.95,0.1824
2026-01-28,2026-04-28,5990.26,0.975,0.1661
2026-01-28,2026-04-28,5990.26,1.00,0.1509
2026-01-28,2026-04-28,5990.26,1.025,0.1402
2026-01-28,2026-04-28,5990.26,1.05,0.1329
2026-01-28,2026-04-28,5990.26,1.10,0.1277
2026-01-28,2026-04-28,5990.26,1.20,0.1525
2026-01-28,2026-06-19,5943.58,0.80,0.2602
2026-01-28,2026-06-19,5943.58,0.90,0.2021
2026-01-28,2026-06-19,5943.58,0.95,0.1769
2026-01-28,2026-06-19,5943.58,0.975,0.1658
2026-01-28,2026-06-19,5943.58,1.00,0.1563
2026-01-28,2026-06-19,5943.58,1.025,0.1484
2026-01-28,2026-06-19,5943.58,1.05,0.1423
2026-01-28,2026-06-19,5943.58,1.10,0.1343
2026-01-28,2026-06-19,5943.58,1.20,0.1352
