"DATE","TIME PERIOD","Euro short-term rate (EST.B.EU000A2X2A25.WT)"
"2019-10-01","01 Oct 2019","-0.549"
"2019-10-02","02 Oct 2019","-0.551"
"2019-10-03","03 Oct 2019","-0.555"
"2019-10-04","04 Oct 2019","-0.553"
"2019-10-07","07 Oct 2019","-0.554"
"2019-10-08","08 Oct 2019","-0.552"
"2019-10-09","09 Oct 2019","-0.552"
"2019-10-10","10 Oct 2019","-0.552"
"2019-10-11","11 Oct 2019","-0.550"
"2019-10-14","14 Oct 2019","-0.549"
"2019-10-15","15 Oct 2019","-0.551"
"2019-10-16","16 Oct 2019","-0.548"
"2019-10-17","17 Oct 2019","-0.548"
"2019-10-18","18 Oct 2019","-0.547"
"2019-10-21","21 Oct 2019","-0.549"
"2019-10-22","22 Oct 2019","-0.548"
"2019-10-23","23 Oct 2019","-0.547"
"2019-10-24","24 Oct 2019","-0.548"
"2019-10-25","25 Oct 2019","-0.548"
"2019-10-28","28 Oct 2019","-0.548"
"2019-10-29","29 Oct 2019","-0.545"
"2019-10-30","30 Oct 2019","-0.545"
"2019-10-31","31 Oct 2019","-0.543"
"2019-11-01","01 Nov 2019","-0.549"
"2019-11-04","04 Nov 2019","-0.536"
"2019-11-05","05 Nov 2019","-0.541"
"2019-11-06","06 Nov 2019","-0.539"
"2019-11-07","07 Nov 2019","-0.537"
"2019-11-08","08 Nov 2019","-0.540"
"2019-11-11","11 Nov 2019","-0.541"
"2019-11-12","12 Nov 2019","-0.537"
"2019-11-13","13 Nov 2019","-0.531"
"2019-11-14","14 Nov 2019","-0.536"
"2019-11-15","15 Nov 2019","-0.541"
"2019-11-18","18 Nov 2019","-0.541"
"2019-11-19","19 Nov 2019","-0.542"
"2019-11-20","20 Nov 2019","-0.511"
"2019-11-21","21 Nov 2019","-0.542"
"2019-11-22","22 Nov 2019","-0.536"
"2019-11-25","25 Nov 2019","-0.533"
"2019-11-26","26 Nov 2019","-0.533"
"2019-11-27","27 Nov 2019","-0.533"
"2019-11-28","28 Nov 2019","-0.531"
"2019-11-29","29 Nov 2019","-0.532"
"2019-12-02","02 Dec 2019","-0.541"
"2019-12-03","03 Dec 2019","-0.539"
"2019-12-04","04 Dec 2019","-0.540"
"2019-12-05","05 Dec 2019","-0.540"
"2019-12-06","06 Dec 2019","-0.541"
"2019-12-09","09 Dec 2019","-0.541"
"2019-12-10","10 Dec 2019","-0.544"
"2019-12-11","11 Dec 2019","-0.544"
"2019-12-12","12 Dec 2019","-0.544"
"2019-12-13","13 Dec 2019","-0.543"
"2019-12-16","16 Dec 2019","-0.543"
"2019-12-17","17 Dec 2019","-0.536"
"2019-12-18","18 Dec 2019","-0.540"
"2019-12-19","19 Dec 2019","-0.540"
"2019-12-20","20 Dec 2019","-0.540"
"2019-12-23","23 Dec 2019","-0.545"
"2019-12-24","24 Dec 2019","-0.549"
"2019-12-27","27 Dec 2019","-0.542"
"2019-12-30","30 Dec 2019","-0.541"
